G1G48-2257-MONOMER	G1G48-2257	Q5LRB1	excinuclease ABC subunit A	
G1G48-2022-MONOMER	G1G48-2022	Q5LRY5	glutamate 5-kinase	
G1G48-3722-MONOMER	G1G48-3722	Q5LM98	C4-dicarboxylate ABC transporter substrate-binding protein	
G1G48-1728-MONOMER	G1G48-1728	Q5LSR7	2-methylcitrate dehydratase	
G1G48-3071-MONOMER	G1G48-3071	Q5LP31	phytanoyl-CoA dioxygenase	
G1G48-4348-MONOMER	G1G48-4348	Q5LKL1	copper oxidase	
G1G48-1965-MONOMER	G1G48-1965	Q5LS43	integrase	
G1G48-2761-MONOMER	G1G48-2761	Q5LPY1	GAF domain-containing protein	
G1G48-465-MONOMER	G1G48-465		hypothetical protein	
G1G48-1637-MONOMER	G1G48-1637	Q5LT09	amidohydrolase	
G1G48-1839-MONOMER	G1G48-1839		hypothetical protein	
G1G48-2309-MONOMER	G1G48-2309	Q5LR59	1-(5-phosphoribosyl)-5-((5- phosphoribosylamino)methylideneamino)imidazole-4- carboxamide isomerase	
G1G48-3146-MONOMER	G1G48-3146		ATPase	
G1G48-3950-MONOMER	G1G48-3950	Q5LLN4	protein-export protein SecB	
G1G48-3162-MONOMER	G1G48-3162	Q5LNU1	Tol-Pal system subunit TolQ	
G1G48-2493-MONOMER	G1G48-2493	Q5LQN8	Asp/Glu racemase	
G1G48-2226-MONOMER	G1G48-2226	Q5LRE2	N-acetyltransferase	
G1G48-604-MONOMER	G1G48-604	Q5LVU9	sorbitol dehydrogenase	
G1G48-35-MONOMER	G1G48-35		glycosyl transferase	
G1G48-437-MONOMER	G1G48-437		glutamate--tRNA ligase	
G1G48-1867-MONOMER	G1G48-1867	Q5LSD8	branched-chain amino acid ABC transporter substrate-binding protein	
G1G48-943-MONOMER	G1G48-943	Q5LUW7	nitroreductase	
G1G48-53-MONOMER	G1G48-53		ABC transporter ATPase	
G1G48-934-MONOMER	G1G48-934	Q5LUX8	aminodeoxychorismate synthase, component I	
G1G48-1764-MONOMER	G1G48-1764	Q5LSN7	alpha/beta hydrolase	
CPLX1G48-62			predicted ABC transporter of a C4-dicarboxylate	
G1G48-2056-MONOMER	G1G48-2056	Q5LRV5	ABC transporter ATP-binding protein	
G1G48-3145-MONOMER	G1G48-3145	Q5LNV8	membrane protein	
G1G48-1467-MONOMER	G1G48-1467	Q5LTH8	L-carnitine dehydrogenase	
G1G48-2248-MONOMER	G1G48-2248		hypothetical protein	
G1G48-2259-MONOMER	G1G48-2259	Q5LRA9	dihydrolipoamide dehydrogenase	
G1G48-4052-MONOMER	G1G48-4052		hypothetical protein	
G1G48-2806-MONOMER	G1G48-2806	Q5LPU3	RNA polymerase sigma factor	
G1G48-3124-MONOMER	G1G48-3124	Q5LNX8	protoheme IX farnesyltransferase	
G1G48-2042-MONOMER	G1G48-2042	Q5LRW7	3-keto-5-aminohexanoate cleavage protein	
G1G48-1897-MONOMER	G1G48-1897	Q5LSA7	hypothetical protein	
G1G48-2044-MONOMER	G1G48-2044	Q5LRW5	polyamine ABC transporter ATP-binding protein	
G1G48-2511-MONOMER	G1G48-2511	Q5LQM0	amidohydrolase	
G1G48-3037-MONOMER	G1G48-3037	Q5LP61	cytochrome b	
G1G48-295-MONOMER	G1G48-295	Q5LX72	threonine transporter RhtB	
G1G48-1682-MONOMER	G1G48-1682	Q5LSW3	hypothetical protein	
G1G48-3246-MONOMER	G1G48-3246	Q5LNK7	DNA repair protein RecO	
G1G48-423-MONOMER	G1G48-423	Q5LWC6	rod shape-determining protein RodA	
G1G48-493-MONOMER	G1G48-493	Q5LW56	30S ribosomal protein S3	
G1G48-3850-MONOMER	G1G48-3850	Q5LLX5	acetoin dehydrogenase dihydrolipoyllysine-residue acetyltransferase subunit	
G1G48-2427-MONOMER	G1G48-2427	Q5LQU9	5-hydroxyisourate hydrolase	
G1G48-3736-MONOMER	G1G48-3736	Q5LM84	hypothetical protein	
G1G48-3906-MONOMER	G1G48-3906	Q5LLS5	zinc-finger domain-containing protein	
G1G48-91-MONOMER	G1G48-91	Q5LWN9	hypothetical protein	
G1G48-267-MONOMER	G1G48-267	Q5LX46	cob(I)yrinic acid a,c-diamide adenosyltransferase	
G1G48-4290-MONOMER	G1G48-4290	Q5LKR4	transcriptional regulator	
G1G48-1980-MONOMER	G1G48-1980		3-deoxy-7-phosphoheptulonate synthase class II	
G1G48-1054-MONOMER	G1G48-1054	Q5LUL1	hypothetical protein	
G1G48-4080-MONOMER	G1G48-4080	Q5LLB7	hypothetical protein	
G1G48-2046-MONOMER	G1G48-2046	Q5LRW3	spermidine/putrescine ABC transporter permease	
G1G48-2541-MONOMER	G1G48-2541	Q5LQJ1	hypothetical protein	
G1G48-3347-MONOMER	G1G48-3347	Q5LNB5	signal transduction histidine kinase	
G1G48-985-MONOMER	G1G48-985	Q5LUS5	NAD-dependent deacetylase	
G1G48-562-MONOMER	G1G48-562		membrane protein	
G1G48-1061-MONOMER	G1G48-1061		hypothetical protein	
G1G48-1019-MONOMER	G1G48-1019	Q5LUP3	acetyl-CoA carboxylase biotin carboxylase subunit	
G1G48-4349-MONOMER	G1G48-4349	Q5LKL0	hypothetical protein	
G1G48-3609-MONOMER	G1G48-3609	Q5LML0	FAD-dependent oxidoreductase	
G1G48-1996-MONOMER	G1G48-1996	Q5LS12	acyl-CoA thioesterase II	
G1G48-371-MONOMER	G1G48-371		ornithine decarboxylase	
G1G48-3875-MONOMER	G1G48-3875		ABC transporter ATP-binding protein	
G1G48-1176-MONOMER	G1G48-1176	Q5LU98	hypothetical protein	
G1G48-4266-MONOMER	G1G48-4266	Q5LKT5	SAM-dependent methyltransferase	
CPLX1G48-30			predicted ABC transporter of a peptide	
G1G48-2974-MONOMER	G1G48-2974	Q5LPC2	uracil phosphoribosyltransferase	
G1G48-620-MONOMER	G1G48-620	Q5LVT3	sugar ABC transporter permease	
G1G48-631-MONOMER	G1G48-631		hypothetical protein	
G1G48-2253-MONOMER	G1G48-2253	Q5LRB5	choline-sulfatase	
G1G48-1997-MONOMER	G1G48-1997	Q5LS11	acetoacetyl-CoA synthetase	
G1G48-3199-MONOMER	G1G48-3199		hypothetical protein	
G1G48-3448-MONOMER	G1G48-3448	Q5LN16	FAD-dependent oxidoreductase	
G1G48-510-MONOMER	G1G48-510	Q5LW40	50S ribosomal protein L30	
G1G48-1283-MONOMER	G1G48-1283		alkylhydroperoxidase	
G1G48-424-MONOMER	G1G48-424	Q5LWC5	penicillin-binding protein 2	
G1G48-1810-MONOMER	G1G48-1810	Q5LSJ4	3-hydroxyanthranilate 3,4-dioxygenase	
G1G48-1213-MONOMER	G1G48-1213		cell division protein FtsW	
G1G48-1107-MONOMER	G1G48-1107	Q5LUG6	choline dehydrogenase	
G1G48-1085-MONOMER	G1G48-1085	Q5LUI8	hypothetical protein	
G1G48-1206-MONOMER	G1G48-1206	Q5LU71	UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase	
G1G48-3456-MONOMER	G1G48-3456	Q5LN08	hypothetical protein	
G1G48-3577-MONOMER	G1G48-3577	Q5LMP1	cytochrome c oxidase accessory protein CcoG	
G1G48-962-MONOMER	G1G48-962	Q5LUU7	amidohydrolase	
G1G48-820-MONOMER	G1G48-820	Q5LV92	6-aminohexanoate-dimer hydrolase	
G1G48-405-MONOMER	G1G48-405	Q5LWE4	penicillin-binding protein activator	
G1G48-1957-MONOMER	G1G48-1957		mechanosensitive ion channel protein MscS	
G1G48-3888-MONOMER	G1G48-3888	Q5LLU3	NAD(P)(+) transhydrogenase	
G1G48-2082-MONOMER	G1G48-2082		hypothetical protein	
G1G48-1612-MONOMER	G1G48-1612		hypothetical protein	
G1G48-3691-MONOMER	G1G48-3691	Q5LMC9	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	
G1G48-812-MONOMER	G1G48-812	Q5LVA0	30S ribosomal protein S1	
G1G48-3132-MONOMER	G1G48-3132	Q5LNX0	succinyl-CoA--3-ketoacid-CoA transferase	
G1G48-3262-MONOMER	G1G48-3262	Q5LNJ2	ribonuclease H	
G1G48-2604-MONOMER	G1G48-2604	Q5LQD2	3-hydroxyisobutyrate dehydrogenase	
G1G48-543-MONOMER	G1G48-543	Q5LW07	membrane protein insertion efficiency factor YidD	
G1G48-4016-MONOMER	G1G48-4016	Q5LLG8	glycine dehydrogenase (aminomethyl-transferring)	
G1G48-692-MONOMER	G1G48-692	Q5LVL8	monooxygenase	
G1G48-3564-MONOMER	G1G48-3564	Q5LMQ4	50S ribosomal protein L7/L12	
G1G48-3225-MONOMER	G1G48-3225	Q5LNM8	hypothetical protein	
G1G48-1452-MONOMER	G1G48-1452	Q5LTJ4	CarD family transcriptional regulator	
G1G48-969-MONOMER	G1G48-969	Q5LUU0	acetylornithine transaminase	
G1G48-2361-MONOMER	G1G48-2361	Q5LR08	SET domain-containing protein-lysine N-methyltransferase	
G1G48-1023-MONOMER	G1G48-1023	Q5LUN9	AMP-dependent synthetase	
G1G48-3047-MONOMER	G1G48-3047	Q5LP52	ABC transporter ATP-binding protein	
G1G48-196-MONOMER	G1G48-196		flagellar hook protein FlgE	
G1G48-1501-MONOMER	G1G48-1501	Q5LTE4	carboxyvinyl-carboxyphosphonate phosphorylmutase	
G1G48-2412-MONOMER	G1G48-2412	Q5LQW2	universal stress protein	
G1G48-899-MONOMER	G1G48-899	Q5LV13	membrane protein	
G1G48-241-MONOMER	G1G48-241	Q5LX22	glycerophosphoryl diester phosphodiesterase	
G1G48-4031-MONOMER	G1G48-4031	Q5LLF3	hypothetical protein	
G1G48-466-MONOMER	G1G48-466		hypothetical protein	
G1G48-109-MONOMER	G1G48-109		hypothetical protein	
G1G48-790-MONOMER	G1G48-790	Q5LVC2	phosphonates import ATP-binding protein PhnC	
G1G48-3988-MONOMER	G1G48-3988	Q5LLL9	NADH:ubiquinone reductase (Na(+)-transporting) subunit D	
G1G48-3815-MONOMER	G1G48-3815	Q5LM08	NAD(P)-dependent oxidoreductase	
G1G48-4350-MONOMER	G1G48-4350	Q5LKK9	hypothetical protein	
G1G48-1311-MONOMER	G1G48-1311	Q5LTX7	hypothetical protein	
G1G48-69-MONOMER	G1G48-69	Q5LWM5	MarR family transcriptional regulator	
G1G48-3618-MONOMER	G1G48-3618	Q5LMK1	GntR family transcriptional regulator	
G1G48-3451-MONOMER	G1G48-3451	Q5LN13	alcohol dehydrogenase	
G1G48-824-MONOMER	G1G48-824	Q5LV88	acyl dehydratase	
G1G48-4173-MONOMER	G1G48-4173	Q5LL26	hypothetical protein	
G1G48-3813-MONOMER	G1G48-3813	Q5LM10	NADPH-dependent 7-cyano-7-deazaguanine reductase QueF	
G1G48-3255-MONOMER	G1G48-3255	Q5LNJ9	2-amino-4-hydroxy-6- hydroxymethyldihydropteridine diphosphokinase	
G1G48-3098-MONOMER	G1G48-3098		peptide ABC transporter permease	
G1G48-4138-MONOMER	G1G48-4138	Q5LL60	C4-dicarboxylate ABC transporter permease	
G1G48-1824-MONOMER	G1G48-1824		nitrate ABC transporter substrate-binding protein	
G1G48-2479-MONOMER	G1G48-2479	Q5LQQ2	FAD-dependent oxidoreductase	
G1G48-1993-MONOMER	G1G48-1993	Q5LS15	glutaryl-CoA dehydrogenase	
G1G48-3273-MONOMER	G1G48-3273	Q5LNI1	response regulator	
G1G48-4095-MONOMER	G1G48-4095	Q5LLA2	hypothetical protein	
G1G48-4291-MONOMER	G1G48-4291	Q5LKR3	methionine gamma-lyase	
G1G48-718-MONOMER	G1G48-718	Q5LVJ3	pyridine nucleotide-disulfide oxidoreductase	
G1G48-1852-MONOMER	G1G48-1852	Q5LSF3	C4-dicarboxylate ABC transporter permease	
G1G48-2929-MONOMER	G1G48-2929	Q5LPG8	L-aspartate dehydrogenase	
G1G48-2475-MONOMER	G1G48-2475		C4-dicarboxylate ABC transporter substrate-binding protein	
G1G48-524-MONOMER	G1G48-524	Q5LW26	haloacid dehalogenase	
G1G48-4250-MONOMER	G1G48-4250	Q5LKV1	C4-dicarboxylate ABC transporter permease	
G1G48-1253-MONOMER	G1G48-1253	Q5LU29	hypothetical protein	
G1G48-1589-MONOMER	G1G48-1589	Q5LNV0	formate--tetrahydrofolate ligase	
G1G48-3984-MONOMER	G1G48-3984	Q5LLJ2	5-carboxymethyl-2-hydroxymuconate semialdehyde dehydrogenase	
G1G48-3771-MONOMER	G1G48-3771		hypothetical protein	
G1G48-1782-MONOMER	G1G48-1782	Q5LSM1	sarcosine oxidase subunit alpha	
G1G48-3292-MONOMER	G1G48-3292		hypothetical protein	
G1G48-1761-MONOMER	G1G48-1761	Q5LSP0	hypothetical protein	
G1G48-3286-MONOMER	G1G48-3286	Q5LNG9	F0F1 ATP synthase subunit A	
G1G48-3063-MONOMER	G1G48-3063	Q5LP38	hypothetical protein	
G1G48-3326-MONOMER	G1G48-3326	Q5LND5	ATP-dependent chaperone ClpB	
G1G48-168-MONOMER	G1G48-168	Q5LWV7	oxidoreductase	
CPLX1G48-3			predicted ABC transporter of taurine	
G1G48-2663-MONOMER	G1G48-2663	Q5LQ78	hypothetical protein	
G1G48-2166-MONOMER	G1G48-2166	Q5LRJ9	multidrug MFS transporter	
G1G48-4001-MONOMER	G1G48-4001	F7IWM1	protocatechuate 3,4-dioxygenase subunit beta	
G1G48-3824-MONOMER	G1G48-3824	Q5LLZ9	glutathione S-transferase	
G1G48-1242-MONOMER	G1G48-1242	Q5LU39	phage integrase site specific recombinase	
G1G48-2365-MONOMER	G1G48-2365	Q5LR04	ribosome biogenesis GTPase Der	
G1G48-1286-MONOMER	G1G48-1286	Q5LU02	alpha/beta hydrolase	
G1G48-310-MONOMER	G1G48-310		membrane protein	
G1G48-2126-MONOMER	G1G48-2126	Q5LRN7	PAS domain-containing sensor histidine kinase	
G1G48-1068-MONOMER	G1G48-1068		hypothetical protein	
G1G48-2907-MONOMER	G1G48-2907	Q5LPJ0	hypothetical protein	
G1G48-1639-MONOMER	G1G48-1639	Q5LT07	ABC transporter permease	
G1G48-3461-MONOMER	G1G48-3461	Q5LN03	anti-sigma factor antagonist	
G1G48-1919-MONOMER	G1G48-1919	Q5LS85	serine protease	
G1G48-286-MONOMER	G1G48-286	Q5LX63	hypothetical protein	
G1G48-2014-MONOMER	G1G48-2014	Q5LRZ4	30S ribosomal protein S2	
G1G48-146-MONOMER	G1G48-146	Q5LWU3	3-ketoacyl-CoA thiolase	
G1G48-1224-MONOMER	G1G48-1224		cell division protein FtsA	
G1G48-2766-MONOMER	G1G48-2766		hypothetical protein	
G1G48-2842-MONOMER	G1G48-2842	Q5LPQ6	membrane protein	
G1G48-734-MONOMER	G1G48-734	Q5LVH7	short-chain dehydrogenase/reductase	
G1G48-2527-MONOMER	G1G48-2527	Q5LQK5	tyrosine--tRNA ligase	
G1G48-2468-MONOMER	G1G48-2468	Q5LQR3	shikimate dehydrogenase	
G1G48-1886-MONOMER	G1G48-1886	Q5LSB9	ABC transporter ATP-binding protein	
G1G48-1484-MONOMER	G1G48-1484	Q5LTG1	MarR family transcriptional regulator	
G1G48-2477-MONOMER	G1G48-2477	Q5LQQ4	GntR family transcriptional regulator	
G1G48-1058-MONOMER	G1G48-1058	Q5LUK7	RNA-dependent DNA polymerase	
G1G48-414-MONOMER	G1G48-414	Q5LWD5	hypothetical protein	
G1G48-1587-MONOMER	G1G48-1587	Q5LT59	NADH-quinone oxidoreductase subunit F	
G1G48-3394-MONOMER	G1G48-3394		lysine decarboxylase	
G1G48-2490-MONOMER	G1G48-2490	Q5LQP1	N-acetyltransferase	
G1G48-1350-MONOMER	G1G48-1350	Q5LTU1	thiamine pyrophosphokinase	
G1G48-1564-MONOMER	G1G48-1564	Q5LT82	hypothetical protein	
G1G48-3218-MONOMER	G1G48-3218		hydroxyacylglutathione hydrolase	
G1G48-1342-MONOMER	G1G48-1342	Q5LTU9	preprotein translocase subunit SecG	
G1G48-1535-MONOMER	G1G48-1535	Q5LTB0	coenzyme PQQ precursor peptide PqqA	
G1G48-3375-MONOMER	G1G48-3375	Q5LN89	ATPase AAA	
G1G48-3603-MONOMER	G1G48-3603		hypothetical protein	
G1G48-4081-MONOMER	G1G48-4081	Q5LLB6	indolepyruvate oxidoreductase	
G1G48-92-MONOMER	G1G48-92	Q5LWN8	hypothetical protein	
G1G48-4351-MONOMER	G1G48-4351	Q5LKK8	C4-dicarboxylate ABC transporter permease	
G1G48-438-MONOMER	G1G48-438	Q5LWB1	gamma-glutamylcyclotransferase	
CPLX1G48-34			predicted ABC transporter of a peptide	
G1G48-1271-MONOMER	G1G48-1271	Q5LU14	ABC transporter permease	
G1G48-3172-MONOMER	G1G48-3172	Q5LNT1	MFS transporter	
G1G48-643-MONOMER	G1G48-643	Q5LVR8	D-glycerate dehydrogenase	
G1G48-1698-MONOMER	G1G48-1698		1-deoxy-D-xylulose-5-phosphate reductoisomerase	
G1G48-1112-MONOMER	G1G48-1112	Q5LUG1	Bcr/CflA family drug resistance efflux transporter	
G1G48-1210-MONOMER	G1G48-1210	Q5LU67	glutathione S-transferase	
G1G48-1890-MONOMER	G1G48-1890		hypothetical protein	
G1G48-4292-MONOMER	G1G48-4292	Q5LKR2	transketolase	
G1G48-1556-MONOMER	G1G48-1556	Q5LT89	multidrug transporter AcrB	
G1G48-1709-MONOMER	G1G48-1709	Q5LST7	DNA-binding response regulator	
G1G48-2530-MONOMER	G1G48-2530	Q5LQK1	elongation factor 3	
G1G48-909-MONOMER	G1G48-909	Q5LV03	hypothetical protein	
G1G48-2195-MONOMER	G1G48-2195	Q5LRH1	citrate (Si)-synthase	
G1G48-3735-MONOMER	G1G48-3735	Q5LM85	(2Fe-2S)-binding protein	
G1G48-866-MONOMER	G1G48-866	Q5LV46	xylose isomerase	
G1G48-13-MONOMER	G1G48-13	Q5LWG8	ribokinase	
G1G48-1975-MONOMER	G1G48-1975	Q5LS33	ABC transporter ATP-binding protein	
G1G48-3421-MONOMER	G1G48-3421	Q5LN43	short-chain dehydrogenase	
G1G48-1998-MONOMER	G1G48-1998	Q5LS10	serine hydrolase	
G1G48-1951-MONOMER	G1G48-1951	Q5LS54	cysteine desulfurase	
G1G48-3600-MONOMER	G1G48-3600	Q5LML9	hypothetical protein	
G1G48-3026-MONOMER	G1G48-3026	Q5LP72	guanylate cyclase	
G1G48-3572-MONOMER	G1G48-3572	Q5LMP6	preprotein translocase subunit SecE	
G1G48-4053-MONOMER	G1G48-4053	Q5LLD8	hypothetical protein	
G1G48-923-MONOMER	G1G48-923	Q5LUY9	D-glycerate dehydrogenase	
G1G48-2491-MONOMER	G1G48-2491	Q5LQP0	MarC family transcriptional regulator	
G1G48-745-MONOMER	G1G48-745	Q5LVG7	bifunctional aldehyde dehydrogenase/enoyl-CoA hydratase	
G1G48-237-MONOMER	G1G48-237	Q5LX26	quinone oxidoreductase	
G1G48-3385-MONOMER	G1G48-3385	Q5LN79	hypothetical protein	
G1G48-2034-MONOMER	G1G48-2034		hypothetical protein	
G1G48-1005-MONOMER	G1G48-1005	Q5LUQ7	sulfur oxidation c-type cytochrome SoxA	
G1G48-806-MONOMER	G1G48-806	Q5LVA6	epimerase	
G1G48-1081-MONOMER	G1G48-1081	Q5LUJ2	ABC transporter substrate-binding protein	
G1G48-3683-MONOMER	G1G48-3683	Q5LMD7	hypothetical protein	
G1G48-3460-MONOMER	G1G48-3460	Q5LN04	acetyl-CoA acetyltransferase	
G1G48-2496-MONOMER	G1G48-2496	Q5LQN5	leucyl aminopeptidase	
G1G48-2424-MONOMER	G1G48-2424		hypothetical protein	
G1G48-4384-MONOMER	G1G48-4384	Q5LKH5	3-hydroxyacyl-CoA dehydrogenase	
G1G48-157-MONOMER	G1G48-157	Q5LWV0	TetR family transcriptional regulator	
G1G48-3064-MONOMER	G1G48-3064	Q5LP37	LysR family transcriptional regulator	
G1G48-137-MONOMER	G1G48-137	Q5LWT3	hypothetical protein	
G1G48-2307-MONOMER	G1G48-2307	Q5LR61	branched-chain alpha-keto acid dehydrogenase subunit E2	
G1G48-2638-MONOMER	G1G48-2638	Q5LQA0	hypothetical protein	
G1G48-4164-MONOMER	G1G48-4164	Q5LL35	5-aminolevulinate synthase	
G1G48-2430-MONOMER	G1G48-2430	Q5LQU6	biotin sulfoxide reductase	
G1G48-3395-MONOMER	G1G48-3395		hypothetical protein	
G1G48-14-MONOMER	G1G48-14	Q5LWG7	peptide-methionine (S)-S-oxide reductase	
G1G48-1329-MONOMER	G1G48-1329	Q5LTW1	glutamine amidotransferase	
G1G48-2734-MONOMER	G1G48-2734	Q5LQ08	5'-nucleotidase SurE	
G1G48-1677-MONOMER	G1G48-1677	Q5LSW9	ABC transporter permease	
G1G48-2209-MONOMER	G1G48-2209	Q5LRF7	LysR family transcriptional regulator	
G1G48-894-MONOMER	G1G48-894	Q5LV18	membrane protein	
G1G48-3155-MONOMER	G1G48-3155		cell division protein FtsH	
G1G48-3476-MONOMER	G1G48-3476	Q5LMY8	hypothetical protein	
G1G48-1406-MONOMER	G1G48-1406	Q5LTN8	GntR family transcriptional regulator	
G1G48-467-MONOMER	G1G48-467	Q5LW81	cobyrinic acid a,c-diamide synthase	
G1G48-1898-MONOMER	G1G48-1898	Q5LSA6	methylenetetrahydrofolate reductase	
G1G48-3819-MONOMER	G1G48-3819	Q5LM04	molybdenum cofactor biosynthesis protein	
G1G48-4235-MONOMER	G1G48-4235	Q5LKW5	C4-dicarboxylate ABC transporter substrate-binding protein	
G1G48-2466-MONOMER	G1G48-2466		hypothetical protein	
G1G48-932-MONOMER	G1G48-932	Q5LUY0	lactoylglutathione lyase	
G1G48-2461-MONOMER	G1G48-2461	Q5LQS0	amino acid transporter LysE	
G1G48-532-MONOMER	G1G48-532	Q5LW18	sterol desaturase-like protein	
G1G48-4352-MONOMER	G1G48-4352	Q5LKK7	C4-dicarboxylate ABC transporter substrate-binding protein	
G1G48-1590-MONOMER	G1G48-1590	Q5LNV1	chorismate mutase	
G1G48-576-MONOMER	G1G48-576	Q5LVX6	AsnC family transcriptional regulator	
G1G48-4396-MONOMER	G1G48-4396	Q5LKG2	phenazine biosynthesis protein PhzF	
G1G48-1634-MONOMER	G1G48-1634	Q5LT12	trimethylamine methyltransferase	
G1G48-2744-MONOMER	G1G48-2744	Q5LPZ8	acyl-CoA dehydrogenase	
G1G48-4125-MONOMER	G1G48-4125	Q5LL73	hypothetical protein	
G1G48-3798-MONOMER	G1G48-3798	Q5LM25	hydantoinase	
G1G48-2335-MONOMER	G1G48-2335	Q5LR34	hypothetical protein	
G1G48-737-MONOMER	G1G48-737		hypothetical protein	
G1G48-1870-MONOMER	G1G48-1870	Q5LSD5	branched-chain amino acid ABC transporter permease	
G1G48-3321-MONOMER	G1G48-3321	Q5LNE0	mononuclear molybdenum enzyme YedY	
G1G48-298-MONOMER	G1G48-298	Q5LX87	acriflavine resistance protein B	
G1G48-782-MONOMER	G1G48-782	Q5LVD0	3-hydroxyacyl-CoA dehydrogenase	
G1G48-2944-MONOMER	G1G48-2944	Q5LPF3	monovalent cation/H+ antiporter subunit D	
G1G48-362-MONOMER	G1G48-362	Q5LXD5	hypothetical protein	
G1G48-542-MONOMER	G1G48-542	Q5LW08	sodium:calcium antiporter	
G1G48-3889-MONOMER	G1G48-3889		S-formylglutathione hydrolase	
G1G48-3206-MONOMER	G1G48-3206	Q5LNP7	threonine aldolase	
G1G48-3010-MONOMER	G1G48-3010		hypothetical protein	
G1G48-2832-MONOMER	G1G48-2832	Q5LPR7	NADH-quinone oxidoreductase subunit D	
G1G48-3865-MONOMER	G1G48-3865		enoyl-CoA hydratase	
G1G48-2924-MONOMER	G1G48-2924		hypothetical protein	
G1G48-3164-MONOMER	G1G48-3164		hypothetical protein	
G1G48-2564-MONOMER	G1G48-2564	Q5LQG9	hypothetical protein	
G1G48-480-MONOMER	G1G48-480	Q5LW68	phosphonate metabolism protein/1,5-bisphosphokinase (PRPP-forming) PhnN	
G1G48-2714-MONOMER	G1G48-2714		hypothetical protein	
G1G48-2156-MONOMER	G1G48-2156	Q5LRK9	AsnC family transcriptional regulator	
G1G48-1364-MONOMER	G1G48-1364	Q5LTS7	Crp/Fnr family transcriptional regulator	
G1G48-2728-MONOMER	G1G48-2728	Q5LQ14	twin-arginine translocase subunit TatB	
G1G48-4216-MONOMER	G1G48-4216	Q5LKY4	L-rhamnonate dehydratase	
G1G48-1360-MONOMER	G1G48-1360		hypothetical protein	
G1G48-3613-MONOMER	G1G48-3613	Q5LMK6	dibenzothiophene desulfurase	
G1G48-3355-MONOMER	G1G48-3355	Q5LNA7	histidine phosphatase family protein	
G1G48-3407-MONOMER	G1G48-3407	Q5LN57	phosphoglycerate dehydrogenase	
G1G48-189-MONOMER	G1G48-189		membrane protein	
G1G48-1050-MONOMER	G1G48-1050	Q5LUL5	hypothetical protein	
G1G48-1052-MONOMER	G1G48-1052		hypothetical protein	
G1G48-888-MONOMER	G1G48-888		hypothetical protein	
G1G48-2857-MONOMER	G1G48-2857	Q5LPP1	riboflavin deaminase	
G1G48-3843-MONOMER	G1G48-3843	Q5LLY2	sugar ABC transporter ATP-binding protein	
G1G48-2711-MONOMER	G1G48-2711	Q5LQ31	amino acid ABC transporter	
G1G48-1651-MONOMER	G1G48-1651	Q5LSZ5	hypothetical protein	
G1G48-2726-MONOMER	G1G48-2726	Q5LQ16	ATPase AAA	
G1G48-1515-MONOMER	G1G48-1515	Q5LTD0	hypothetical protein	
G1G48-1954-MONOMER	G1G48-1954	Q5LS51	hypothetical protein	
G1G48-4220-MONOMER	G1G48-4220	Q5LKY0	C4-dicarboxylate ABC transporter substrate-binding protein	
G1G48-658-MONOMER	G1G48-658	Q5LVQ2	BMP family ABC transporter substrate-binding protein	
G1G48-422-MONOMER	G1G48-422	Q5LWC7	glyoxylate/hydroxypyruvate reductase A	
G1G48-502-MONOMER	G1G48-502	Q5LW48	50S ribosomal protein L14	
G1G48-1408-MONOMER	G1G48-1408	Q5LTN6	carbamoyl phosphate synthase small subunit	
G1G48-3641-MONOMER	G1G48-3641	Q5LMH8	RNA pyrophosphohydrolase	
G1G48-1720-MONOMER	G1G48-1720	Q5LSS5	50S ribosomal protein L13	
G1G48-1644-MONOMER	G1G48-1644	Q5LT02	twin-arginine translocation pathway signal sequence domain-containing protein	
G1G48-1468-MONOMER	G1G48-1468	Q5LTH7	3-ketoacyl-ACP reductase	
G1G48-701-MONOMER	G1G48-701	Q5LVK9	GTPase Era	
G1G48-21-MONOMER	G1G48-21		histidine kinase	
G1G48-4100-MONOMER	G1G48-4100	Q5LL97	hypothetical protein	
G1G48-1394-MONOMER	G1G48-1394	Q5LTP9	phosphoglucosamine mutase	
G1G48-1523-MONOMER	G1G48-1523	Q5LTC2	branched-chain amino acid ABC transporter permease/ATP-binding protein	
G1G48-4293-MONOMER	G1G48-4293	Q5LKR1	5-carboxymethyl-2-hydroxymuconate isomerase	
G1G48-18-MONOMER	G1G48-18	Q5LWG3	argininosuccinate synthase	
G1G48-1742-MONOMER	G1G48-1742	Q5LSQ7	branched-chain amino acid ABC transporter permease	
G1G48-2942-MONOMER	G1G48-2942	Q5LPF5	monovalent cation/H+ antiporter subunit A	
G1G48-3565-MONOMER	G1G48-3565	Q5LMQ3	50S ribosomal protein L10	
G1G48-2646-MONOMER	G1G48-2646	Q5LQ94	hypothetical protein	
G1G48-3048-MONOMER	G1G48-3048	Q5LP51	hypothetical protein	
G1G48-632-MONOMER	G1G48-632	Q5LVS2	hypothetical protein	
G1G48-1046-MONOMER	G1G48-1046		hypothetical protein	
G1G48-1542-MONOMER	G1G48-1542	Q5LTA3	2-phenylethanol ABC transporter ATP-binding protein	
G1G48-2216-MONOMER	G1G48-2216	Q5LRF2	cardiolipin synthase	
